Teller,TijdISO,SecondenSindsMiddernacht,Pin
90613,2019-12-31T10:51:10.360344,39070.360344,17
90614,2019-12-31T10:51:13.395218,39073.395218,17
90615,2019-12-31T10:51:13.546353,39073.546353,17
90616,2019-12-31T10:51:16.589233,39076.589233,17
90617,2019-12-31T10:51:16.734340,39076.73434,17
90618,2019-12-31T10:51:19.865151,39079.865151,17
90619,2019-12-31T10:51:20.346336,39080.346336,17
90620,2019-12-31T10:51:24.235758,39084.235758,17
90621,2019-12-31T10:51:24.729299,39084.729299,17
90622,2019-12-31T10:51:28.592367,39088.592367,17
90623,2019-12-31T10:51:29.092527,39089.092527,17
90624,2019-12-31T10:51:32.998370,39092.99837,17
90625,2019-12-31T10:51:33.497312,39093.497312,17
90626,2019-12-31T10:51:37.379038,39097.379038,17
90627,2019-12-31T10:51:37.857545,39097.857545,17
90628,2019-12-31T10:51:41.772400,39101.7724,17
90629,2019-12-31T10:51:42.297075,39102.297075,17
90630,2019-12-31T10:51:46.163047,39106.163047,17
90631,2019-12-31T10:51:46.670054,39106.670054,17
90632,2019-12-31T10:51:50.587858,39110.587858,17
90633,2019-12-31T10:51:51.060662,39111.060662,17
90634,2019-12-31T10:51:54.941413,39114.941413,17
90635,2019-12-31T10:51:55.441011,39115.441011,17
90636,2019-12-31T10:51:59.320907,39119.320907,17
90637,2019-12-31T10:51:59.828520,39119.82852,17
90638,2019-12-31T10:52:51.448594,39171.448594,17
90639,2019-12-31T10:52:51.916565,39171.916565,17
90640,2019-12-31T10:52:56.034155,39176.034155,17
90641,2019-12-31T10:52:56.473921,39176.473921,17
90642,2019-12-31T10:53:00.038603,39180.038603,17
90643,2019-12-31T10:53:00.493454,39180.493454,17
90644,2019-12-31T10:53:04.203406,39184.203406,17
90645,2019-12-31T10:53:04.604127,39184.604127,17
90646,2019-12-31T10:53:08.278462,39188.278462,17
90647,2019-12-31T10:53:08.680866,39188.680866,17
90648,2019-12-31T10:53:12.365460,39192.36546,17
90649,2019-12-31T10:53:12.799580,39192.79958,17
90650,2019-12-31T10:53:16.497167,39196.497167,17
90651,2019-12-31T10:53:16.929703,39196.929703,17
90652,2019-12-31T10:53:20.619409,39200.619409,17
90653,2019-12-31T10:53:20.988295,39200.988295,17
90654,2019-12-31T10:53:24.622312,39204.622312,17
90655,2019-12-31T10:53:25.044045,39205.044045,17
90656,2019-12-31T10:53:28.672296,39208.672296,17
90657,2019-12-31T10:53:29.071459,39209.071459,17
